ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CST_D_DCM_0092,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0093,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0094,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0095,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0096,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0097,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0098,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0099,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0100,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0101,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0102,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0103,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0104,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 2,Latium
CST_D_DCM_0105,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0106,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0107,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0108,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0109,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0110,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0111,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0112,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0113,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0114,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0115,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0116,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0117,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0118,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0119,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0120,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0121,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0122,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0123,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0124,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0125,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
